"ID","fecha_encuesta","genero_r","edad","Mat_aprobadas","Mat_Desaprobadas","Mat_aprobadas2020_2021","sexo","fecha_nacimiento.y","maxnivelestcurmadre","maxnivelestcurpadre","maxnivelestdospadres","carrera","carrera_nombre","plan","materia","materia_nombre","fecha_inscripcion","fecha_regularidad","resultado_cursada","resultado_cursada_nombre","nota","q_cursadas","primera_fecha_inscripcion","fecha_final","primera_fecha_final","q_final","resultado_final","resultado_final_nombre","vM_equiv","cuatrimestre","ESTADO","ID_anon"
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","A","Licenciatura en Antropología Social y Cultural","actual","CC08","METODOLOGIA DE LA INVESTIGACION",2023-07-12 16:50:00,2023-11-27,"P","Promocionado","8",1,2023-07-12 16:50:00,NA,NA,NA,NA,NA,NA,NA,1,952
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","A","Licenciatura en Antropología Social y Cultural","actual","S223","Metodologías Cuantitativas",2023-07-12 16:49:00,2023-11-25,"P","Promocionado","8",1,2023-07-12 16:49:00,NA,NA,NA,NA,NA,NA,9,1,952
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","CC01","HISTORIA GENERAL",2021-07-07 00:33:00,2021-11-23,"P","Promocionado","7",1,2021-07-07 00:33:00,NA,NA,NA,NA,NA,NA,2,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","CC02","HISTORIA ARGENTINA",2022-07-08 17:20:00,2022-11-24,"A","Aprobado","7",1,2022-07-08 17:20:00,2022-12-15,2022-12-15,1,"A","Aprobado",NA,4,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","CC03","INTRODUCCION A LA FILOSOFIA",2021-07-07 00:34:00,2021-11-19,"P","Promocionado","10",1,2021-07-07 00:34:00,NA,NA,NA,NA,NA,NA,2,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","CC05","INTRODUCCION A LA SOCIOLOGIA",2021-02-17 23:35:00,2021-07-12,"P","Promocionado","9",1,2021-02-17 23:35:00,NA,NA,NA,NA,NA,NA,1,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","CC07","INTRODUCCION A LA CIENCIA POLITICA",2021-12-01,2022-03-22,"P","Promocionado","7",1,2021-12-01,NA,NA,NA,NA,NA,NA,2,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","CC09","INTRODUCCION A LA ANTROPOLOGIA",2021-02-17 23:39:00,2021-07-05,"P","Promocionado","9",1,2021-02-17 23:39:00,NA,NA,NA,NA,NA,NA,1,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","OP158","Educación Sexual Integral",2023-02-17 09:14:00,2023-06-30,"U","Ausente","(null)",1,2023-02-17 09:14:00,NA,NA,NA,NA,NA,NA,NA,0,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","S218","Escritura y Argumentación",2021-07-12,2021-07-12,"A","Aprobado","8",1,2021-07-12,2021-07-28,2021-07-28,1,"A","Aprobado",NA,1,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","S219","Economía para Ciencias Sociales",2022-02-14 09:28:00,2022-07-05,"P","Promocionado","7",1,2022-02-14 09:28:00,NA,NA,NA,NA,NA,NA,3,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","S220","Procesos Sociales y Políticos de América Latina",2022-02-14 09:29:00,2022-07-01,"A","Aprobado","6",1,2022-02-14 09:29:00,2022-07-27,2022-07-27,1,"A","Aprobado",NA,3,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","S221","Teorías Sociologícas 1",2023-02-13 08:10:00,2023-06-30,"A","Aprobado","9",1,2023-02-13 08:10:00,2023-08-03,2023-08-03,1,"A","Aprobado",NA,3,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","S222","Estudios del Discurso",2022-07-04 07:45:00,2022-11-19,"P","Promocionado","7",1,2022-07-04 07:45:00,NA,NA,NA,NA,NA,NA,4,1,168
1,2024-10-19 09:22:09,1,29,14,0,5,"Masculino","1994-08","10. Universitario completo","09. Universitario incompleto","10. Universitario completo","S","Licenciatura en Sociología","actual","S224","Metodologías Cualitativas",2023-12-05 12:15:00,2024-03-11,"P","Promocionado","8",1,2023-12-05 12:15:00,NA,NA,NA,NA,NA,NA,6,1,168
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","CC01","HISTORIA GENERAL",2022-07-04 12:06:00,2022-11-23,"P","Promocionado","7",1,2022-07-04 12:06:00,NA,NA,NA,NA,NA,NA,2,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","CC02","HISTORIA ARGENTINA",2023-07-14 16:01:00,2023-11-28,"A","Aprobado","9",1,2023-07-14 16:01:00,2023-12-14,2023-12-14,1,"A","Aprobado",NA,4,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","CC03","INTRODUCCION A LA FILOSOFIA",2022-07-04 22:00:00,2022-11-18,"P","Promocionado","9",1,2022-07-04 22:00:00,NA,NA,NA,NA,NA,NA,2,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","CC05","INTRODUCCION A LA SOCIOLOGIA",2022-03-17 15:01:00,2022-07-09,"P","Promocionado","9",1,2022-03-17 15:01:00,NA,NA,NA,NA,NA,NA,1,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","CC07","INTRODUCCION A LA CIENCIA POLITICA",2022-07-04 12:12:00,2022-12-07,"P","Promocionado","8",1,2022-07-04 12:12:00,NA,NA,NA,NA,NA,NA,2,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","CC08","METODOLOGIA DE LA INVESTIGACION",2023-07-13 09:17:00,2023-11-27,"P","Promocionado","10",1,2023-07-13 09:17:00,NA,NA,NA,NA,NA,NA,4,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","CC09","INTRODUCCION A LA ANTROPOLOGIA",2022-03-17 15:02:00,2022-07-03,"A","Aprobado","9",1,2022-03-17 15:02:00,2022-07-15,2022-07-15,1,"A","Aprobado",NA,1,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","S218","Escritura y Argumentación",2022-03-17 15:04:00,2022-07-04,"P","Promocionado","9",1,2022-03-17 15:04:00,NA,NA,NA,NA,NA,NA,1,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","S219","Economía para Ciencias Sociales",2023-02-14 12:00:00,2023-07-03,"P","Promocionado","8",1,2023-02-14 12:00:00,NA,NA,NA,NA,NA,NA,3,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","S220","Procesos Sociales y Políticos de América Latina",2023-02-14 12:02:00,2023-07-13,"P","Promocionado","9",1,2023-02-14 12:02:00,NA,NA,NA,NA,NA,NA,3,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","S221","Teorías Sociologícas 1",2023-02-14 12:01:00,2023-06-30,"A","Aprobado","10",1,2023-02-14 12:01:00,2023-08-03,2023-08-03,1,"A","Aprobado",NA,3,1,2268
4,2024-10-19 09:29:49,2,21,12,0,0,"Femenino","2003-08","10. Universitario completo","11. Posgrado","11. Posgrado","S","Licenciatura en Sociología","actual","S222","Estudios del Discurso",2023-07-10 11:09:00,2023-11-24,"P","Promocionado","8",1,2023-07-10 11:09:00,NA,NA,NA,NA,NA,NA,4,1,2268
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","CC01","HISTORIA GENERAL",2020-07-14 15:05:00,2020-11-27,"A","Aprobado","8",1,2020-07-14 15:05:00,2020-12-11,2020-12-11,1,"A","Aprobado",NA,2,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","CC02","HISTORIA ARGENTINA",2022-07-13 18:33:00,2022-11-24,"A","Aprobado","8",1,2022-07-13 18:33:00,2023-09-28,2023-09-28,1,"A","Aprobado",NA,4,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","CC03","INTRODUCCION A LA FILOSOFIA",2020-07-14 15:07:00,2020-11-21,"P","Promocionado","8",1,2020-07-14 15:07:00,NA,NA,NA,NA,NA,NA,2,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","CC05","INTRODUCCION A LA SOCIOLOGIA",2020-02-24 12:24:00,2020-07-10,"P","Promocionado","9",1,2020-02-24 12:24:00,NA,NA,NA,NA,NA,NA,1,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","CC07","INTRODUCCION A LA CIENCIA POLITICA",2021-02-17 14:10:00,2021-07-08,"A","Aprobado","6",1,2021-02-17 14:10:00,2023-07-19,2021-07-28,6,"A","Aprobado",NA,2,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","CC08","METODOLOGIA DE LA INVESTIGACION",2023-07-11 21:59:00,2023-11-27,"P","Promocionado","10",1,2023-07-11 21:59:00,NA,NA,NA,NA,NA,NA,4,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","CC09","INTRODUCCION A LA ANTROPOLOGIA",2020-07-14 14:59:00,2020-11-20,"P","Promocionado","9",1,2020-07-14 14:59:00,NA,NA,NA,NA,NA,NA,1,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","OP133","Territorio Educativo: Experiencias formativas junto a organizaciones del Área Reconquista",2022-07-12 22:09:00,2022-12-01,"P","Promocionado","9",1,2022-07-12 22:09:00,NA,NA,NA,NA,NA,NA,NA,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","S 19","ESTUDIOS SOCIALES DE LA ECONOMIA",2023-12-15 16:11:00,2024-03-07,"P","Promocionado","7",1,2023-12-15 16:11:00,NA,NA,NA,NA,NA,NA,8,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","S204","Inglés 2",2021-07-11 12:30:00,2021-11-19,"P","Promocionado","8",1,2021-07-11 12:30:00,NA,NA,NA,NA,NA,NA,4,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","S207","Inglés 3",2022-03-11 17:11:00,2022-07-07,"P","Promocionado","10",1,2022-03-11 17:11:00,NA,NA,NA,NA,NA,NA,5,1,617
5,2024-10-19 09:35:17,2,64,14,0,9,"Femenino","1958-11","04. Primaria completa","04. Primaria completa","04. Primaria completa","S","Licenciatura en Sociología","actual","S218","Escritura y Argumentación",2020-02-24 12:17:00,2020-06-29,"P","Promocionado","7",1,2020-02-24 12:17:00,NA,NA,NA,NA,NA,NA,1,1,617
